Id,Job Title,Company Name,Experience,Salary,Date Posted,Location,Skills,URL
20,Urgent Hiring || Human Capital Management Software Engineer Associate,Net2Source,3-8 Yrs,Not disclosed,4 Days Ago,Bengaluru,"Object Oriented Programming, Java, Oracle RDBMS, Aws Cloud, Sybase Database Administration, Web Services, SQL database, Database administration",https://www.naukri.com/job-listings-urgent-hiring-human-capital-management-software-engineer-associate-net2source-bengaluru-3-to-8-years-100424009322
21,Robotics Software Engineer,SigTuple Technologies Pvt.Ltd.,3-5 Yrs,Not disclosed,4 Days Ago,Bengaluru,"Robotics, Design, Automation, Algorithms, Robotics Systems, Software, System",https://www.naukri.com/job-listings-robotics-software-engineer-sigtuple-technologies-pvt-ltd-bengaluru-3-to-5-years-100424003695
22,Software Engineer,Ford,6-8 Yrs,Not disclosed,4 Days Ago,Chennai,"Maven, Postgresql, Javascript, Agile, JDBC, Application development, Selenium, Troubleshooting",https://www.naukri.com/job-listings-software-engineer-ford-global-business-services-chennai-6-to-8-years-100424500280
23,Software Engineer,Ford,1-4 Yrs,Not disclosed,4 Days Ago,Chennai,"Automation, metadata, Analytical, Product design, Information technology, Monitoring, SQL, Python",https://www.naukri.com/job-listings-software-engineer-ford-global-business-services-chennai-1-to-4-years-100424500279
24,Software Engineer,IBM,8-12 Yrs,Not disclosed,4 Days Ago,Pune,"java, j2ee, html, javascript, angular, kubernetes, algorithms, css",https://www.naukri.com/job-listings-software-engineer-ibm-india-pvt-limited-pune-8-to-12-years-100424910277
25,Software Engineer,Atlas Copco,3-5 Yrs,Not disclosed,5 Days Ago,Pune,"GIT, Renewable energy, UML, Analytical, Web application, Debugging, Application development, Scrum",https://www.naukri.com/job-listings-software-engineer-atlas-copco-services-s-r-o-pune-3-to-5-years-090424501076
26,Software Engineer,Syngenta,4-7 Yrs,Not disclosed,6 Days Ago,Pune,"Computer science, QA, Circuit breakers, SAAS, Focus, Debugging, Manager Technology, Software product development",https://www.naukri.com/job-listings-software-engineer-syngenta-global-pune-4-to-7-years-080424500903
27,Software Engineer,IBM,0-2 Yrs,Not disclosed,11 Days Ago,Kochi,"python, software development, software programming, postgresql, mysql, kubernetes, cloud services, redhat openshift",https://www.naukri.com/job-listings-software-engineer-ibm-india-pvt-limited-kochi-0-to-2-years-030424912743
28,Software Engineer /Developer /Programmer,Coriolis Tech,0-1 Yrs,4.75-8 Lacs PA,13 Days Ago,"Pune, Maharashtra, Bengaluru, Mumbai (All Areas)","API Testing, Version Control, JQuery, SDLC Life Cycle, Software Engineering, c++, Oracle SQL, OOPS",https://www.naukri.com/job-listings-software-engineer-developer-programmer-coriolis-tech-pune-maharashtra-bengaluru-mumbai-all-areas-0-to-1-years-210324005932
29,Software Engineer,.,0-1 Yrs,Not disclosed,3 Days Ago,"Chennai, Coimbatore","C++, C, Algorithms, Data Structures, Optimization, Cuda, Software, Software engineering",https://www.naukri.com/job-listings-software-engineer-tmangoes-hr-consulting-chennai-coimbatore-0-to-1-years-110424002822
30,Software Engineer,Ingram Micro,3-5 Yrs,Not disclosed,2 Days Ago,"Mumbai, Pune","Software design, Operating systems, Consulting, Cloud, Commerce, Technology solutions, Individual Contributor, Supervision",https://www.naukri.com/job-listings-software-engineer-ingram-micro-i-pvt-ltd-mumbai-pune-3-to-5-years-120424502101
31,Software Engineer,Paypal,5-10 Yrs,Not disclosed,5 Days Ago,Chennai,"Networking, Analytical, Shell scripting, Agile, Scheduling, Data quality, Oracle, Teradata",https://www.naukri.com/job-listings-software-engineer-paypal-holdings-inc-chennai-5-to-10-years-090424500182
32,Software Engineer (DBaaS),"DigitalOcean, Inc.",4-9 Yrs,Not disclosed,2 Days Ago,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Cloud computing, C++, Employee development, PAAS, Agile, Equity, Ruby, Distribution system",https://www.naukri.com/job-listings-software-engineer-dbaas-digitalocean-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-9-years-120424502031
33,Software Engineer,CSC,6-7 Yrs,Not disclosed,5 Days Ago,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Automation, Software development methodologies, Interpersonal skills, Analytical, PAAS, Agile methodology, Selenium, Investment banking",https://www.naukri.com/job-listings-software-engineer-csc-global-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-7-years-090424501700
