Id,Job Title,Company Name,Experience,Salary,Date Posted,Location,Skills,URL
176,Data Scientist,ispatial techno solutions pvt ltd.,7 - 10 yrs,Not Mentioned,few days ago,Hyderabad/Secunderabad,"algorithms  ,  c    ,  scala  ,  data mining  ,  sql  ,  java  ,  mysql  ,  hadoop  ,  middleware  ,  python  ,  oracle  ,  mq  ,  nosql",https://www.timesjobs.com/job-detail/data-scientist-ispatial-techno-solutions-pvt-ltd-hyderabad-secunderabad-7-to-10-yrs-jobid-8gdtpNSBFVFzpSvf__PLUS__uAgZw==&source=srp
177,Data Scientist,Colgate-Palmolive  ( India ),2 - 5 yrs,Not Mentioned,few days ago,Mumbai,"data science   ,   machine learning   ,   python   ,   sql   ,   data visualization   ,  ajax  ,  artificial intelligence  ,  spring  ,  mysql  ,  oracle  ,  dash  ,  soap  ,  algorithms  ,  data mining  ,  database  ,  postgresql  ,  information retrieval",https://www.timesjobs.com/job-detail/data-scientist-colgate-palmolive-india-mumbai-2-to-5-yrs-jobid-hs__SLASH__DuTfzYVNzpSvf__PLUS__uAgZw==&source=srp
178,Data Scientist,IDP EDUCATION INDIA PVT LTD,10 - 13 yrs,Not Mentioned,few days ago,Chennai,"algorithms  ,  software engineering  ,  data structures  ,  python  ,  machine learning  ,  infrastructure",https://www.timesjobs.com/job-detail/data-scientist-idp-education-india-pvt-ltd-chennai-10-to-13-yrs-jobid-aDetyOqiSXpzpSvf__PLUS__uAgZw==&source=srp
179,Data Scientist,alliance recruitment agency,3 - 4 yrs,Not Mentioned,few days ago,Noida/Greater Noida,"algorithms  ,  data mining  ,  bi  ,  sql  ,  java  ,  unix shell scripting  ,  linux  ,  big data  ,  python  ,  machine learning  ,  infrastructure  ,  unix",https://www.timesjobs.com/job-detail/data-scientist-alliance-recruitment-agency-noida-greater-noida-3-to-4-yrs-jobid-6Q1wE5ZELzdzpSvf__PLUS__uAgZw==&source=srp
180,Data Scientist,Exxonmobil Company India Pvt Ltd,3 - 6 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"data science  ,   machine learning  ,   statistical analysis  ,   python  &  r  ,   software engineering   ,  devops  ,  software testing  ,  ensemble  ,  security  ,  pattern recognition  ,  natural language processing",https://www.timesjobs.com/job-detail/data-scientist-exxonmobil-company-india-pvt-ltd-bengaluru-bangalore-3-to-6-yrs-jobid-CjBd3wV1OzRzpSvf__PLUS__uAgZw==&source=srp
181,Data Scientist,Decon Jobs,1 - 9 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"data science   ,   machine learning   ,   python  /  r programming   ,   statistical analysis   ,   model deployment   ,  algorithms  ,  sql  ,  database  ,  data extraction  ,  hadoop  ,  big data",https://www.timesjobs.com/job-detail/data-scientist-decon-jobs-bengaluru-bangalore-1-to-9-yrs-jobid-__SLASH__bkVHOAc2qhzpSvf__PLUS__uAgZw==&source=srp
182,Data Scientist,JOHN CRANE SEALING SYSTEMS INDIA PVT LTD,5 - 8 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"data science   ,   machine learning   ,   python programming   ,   statistical analysis   ,   ai  /  ml modeling   ,  algorithms  ,  data mining  ,  sql  ,  business environment  ,  imaging  ,  infrastructure  ,  software developer",https://www.timesjobs.com/job-detail/data-scientist-john-crane-sealing-systems-india-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-pnkmC7LM2zhzpSvf__PLUS__uAgZw==&source=srp
183,Data Scientist,Travel Centric Technology,6 - 9 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"algorithms  ,  data mining  ,  java  ,  c#  ,  rest  ,  python  ,  team player  ,  machine learning  ,  artificial neural networks  ,  .net",https://www.timesjobs.com/job-detail/data-scientist-travel-centric-technology-bengaluru-bangalore-6-to-9-yrs-jobid-PTsqR288jdVzpSvf__PLUS__uAgZw==&source=srp
184,Data Scientist,nutanxt technologies,1 - 4 yrs,Not Mentioned,few days ago,Pune,"data sources  ,  deploying application  ,  methods  using advanced",https://www.timesjobs.com/job-detail/data-scientist-nutanxt-technologies-pune-1-to-4-yrs-jobid-s5iW3Ik4tspzpSvf__PLUS__uAgZw==&source=srp
185,Data Scientist,pegasus knowledge solutions india pvt ltd.,8 - 10 yrs,Not Mentioned,few days ago,Bengaluru / Bangalore,"algorithms  ,  python  ,  sas  ,  sql",https://www.timesjobs.com/job-detail/data-scientist-pegasus-knowledge-solutions-india-pvt-ltd-bengaluru-bangalore-8-to-10-yrs-jobid-KclF0c5R6jtzpSvf__PLUS__uAgZw==&source=srp
